NUM_SOLICITUD,SUCURSAL,STATUS_SOLICITUD,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,MESES_VENCIDOS,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,COMPROBANTE_INGRESOS,SEGMENTO_CLIENTE,CLIENTE_CDE,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,PEOR_MOP_TARJETAS,SUMA_SALDOS_TARJETAS,SUMA_PAGO_MIN_TARJETAS,SUMA_SALDOS_TOTAL,NUM_CREDITOS,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
19,7813,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5270,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,4,92,0,0,0,0,0,0,25,Renta,Preparatoria
20,7618,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5678,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,4,92,0,0,0,0,0,0,25,Propia,Preparatoria
21,4503,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4500,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,92,0,0,0,0,0,0,25,Propia,Licenciatura
22,539,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4780,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,2,92,0,0,0,0,0,0,25,Familiares,Posgrado
23,289,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4520,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,2,92,0,0,0,0,0,0,25,Familiares,Licenciatura
24,4568,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5000,PAGOS PROV SEMESTRALES PF,,NO_CLIENTE,0,Alto,BAJO,2,93,0,0,0,0,3395,0,25,Propia,Preparatoria
25,9037,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4950,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,2,93,0,0,0,0,8322,0,25,Hipoteca,Posgrado
26,881,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4780,RECIBOS DE NOMINA,,NO_CLIENTE,18800,Alto,BAJO,2,93,0,0,0,0,0,0,25,Propia,Posgrado
27,6579,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5150,RECIBOS DE NOMINA,Alto C,CLIENTE_BANCO,0,Alto,BAJO,4,93,0,19,44705,44705,0,0,25,Hipoteca,Licenciatura
28,8175,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4725,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,5,94,0,0,0,0,0,0,25,Hipoteca,Licenciatura
29,673,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5019,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,16500,Alto,BAJO,3,94,0,1,2320,250,0,0,25,Renta,Licenciatura
30,7588,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4746,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,1,94,0,0,0,0,0,0,25,Propia,Preparatoria
31,8126,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5250,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,4,94,0,0,0,0,0,0,25,Renta,Posgrado
32,506,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5198,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,5,94,0,0,0,0,0,0,25,Hipoteca,Preparatoria
33,396,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5019,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,95,0,0,0,0,0,0,25,Familiares,Preparatoria
34,18037,Cancelada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5408,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,95,0,0,0,0,0,0,25,Familiares,Preparatoria
35,4440,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4961,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,95,0,0,0,0,0,0,25,Propia,Posgrado
36,4096,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5270,PAGOS PROV SEMESTRALES PF,,NO_CLIENTE,0,Alto,BAJO,2,95,0,0,0,0,0,0,25,Hipoteca,Preparatoria
37,4602,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4983,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,4,95,0,0,0,0,0,0,25,Propia,Posgrado
38,691,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5513,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,4,95,0,0,0,0,0,0,25,Hipoteca,Posgrado
39,5165,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5457,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,3,96,0,0,0,0,0,0,25,Renta,Preparatoria
40,7910,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5270,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,2,96,0,0,0,0,0,0,25,Propia,Licenciatura
41,197,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5678,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,2,96,0,0,2512,0,0,0,25,Hipoteca,Licenciatura
42,41,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5209,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,96,0,0,0,0,0,0,25,Propia,Posgrado
43,4289,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5533,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,2,96,0,8,19038,19038,14267,0,25,Hipoteca,Posgrado
44,7796,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5232,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,4,96,0,0,0,0,0,0,25,Familiares,Posgrado
45,4345,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5788,INVERSIONES,,NO_CLIENTE,0,Alto,BAJO,2,96,0,0,0,0,0,0,25,Familiares,Preparatoria
46,7674,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5730,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,1,96,0,0,0,0,0,0,25,Propia,Preparatoria
47,9152,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5533,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,4,96,0,0,0,0,0,0,25,Hipoteca,Posgrado
48,192,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5962,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,10000,Alto,BAJO,5,96,0,0,0,0,0,0,25,Familiares,Preparatoria
49,920,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5470,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,2,97,0,0,0,0,0,0,25,Familiares,Licenciatura
50,217,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5810,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,1,97,0,0,0,0,7324,0,25,Hipoteca,Licenciatura
51,323,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5494,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,1,97,0,0,0,0,0,0,25,Propia,Preparatoria
52,8193,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6078,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,2,98,0,0,0,0,55608,0,25,Renta,Preparatoria
53,776,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6017,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,98,0,1,578,250,65721,0,25,Familiares,Posgrado
54,4056,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5810,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,3,98,0,0,0,0,0,0,25,Hipoteca,Preparatoria
55,205,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6260,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,2,98,0,0,0,0,0,0,25,Hipoteca,Posgrado
56,527,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5743,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,21500,Alto,BAJO,5,98,0,1,21101,1210,0,0,25,Familiares,Posgrado
57,319,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6101,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,4,99,0,0,0,0,0,0,25,Hipoteca,Posgrado
58,107,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5769,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,5,99,0,8,34249,34249,0,0,25,Familiares,Posgrado
59,4465,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6381,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,3,99,0,0,0,0,112715,0,25,Hipoteca,Licenciatura
60,965,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6318,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,2,99,0,0,0,0,0,0,25,Hipoteca,Preparatoria
61,303,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6101,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,99,0,0,0,0,0,0,25,Renta,Posgrado
62,4556,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6573,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,4,99,0,0,0,0,0,0,25,Renta,Posgrado
63,879,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6203,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,5,99,0,0,0,0,17273,0,25,Hipoteca,Preparatoria
64,4881,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6406,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,99,0,0,0,0,0,0,25,Familiares,Posgrado
65,4182,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6173,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,4,100,0,0,0,0,0,0,25,Familiares,Posgrado
66,319,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6700,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,4,100,0,0,0,0,0,0,25,Renta,Licenciatura
67,681,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6697,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,26500,Alto,BAJO,3,100,0,1,21574,1110,84697,0,25,Familiares,Posgrado
68,781,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6406,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,4,101,0,0,0,0,0,0,25,Renta,Posgrado
69,538,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6901,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,0,101,0,0,0,0,0,0,25,Hipoteca,Posgrado
70,4308,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6513,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,0,101,0,0,0,0,0,0,25,Renta,Secundaria
71,15006,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6726,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,0,101,0,0,0,0,0,0,25,Propia,Licenciatura
72,8164,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,6481,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,0,101,0,0,0,0,23070,0,25,Renta,Preparatoria
73,487,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,7036,RECIBOS DE NOMINA,,NO_CLIENTE,15,Alto,BAJO,2,101,0,0,0,0,0,0,25,Propia,Posgrado
74,104,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,7232,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,0,101,0,0,0,0,0,0,25,Propia,Preparatoria
75,9209,Pendiente,Pre-Aprobado,MALO,1,#N/A,#N/A,#N/A,6726,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,2,124,0,0,0,0,0,0,25,Propia,Posgrado
76,9175,Pendiente,Pre-Aprobado,MALO,1,#N/A,#N/A,#N/A,7385,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,0,134,0,0,0,0,0,0,25,Familiares,Posgrado
77,9179,Pendiente,Pre-Aprobado,MALO,1,#N/A,#N/A,#N/A,6839,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,1,142,0,0,0,0,0,0,25,Renta,Posgrado
78,4089,Pendiente,Pre-Aprobado,MALO,1,#N/A,#N/A,#N/A,7129,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,4,143,0,0,0,0,0,0,25,Familiares,Licenciatura
79,7620,Pendiente,Pre-Aprobado,MALO,1,#N/A,#N/A,#N/A,6870,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,2,156,0,0,0,0,0,0,25,Propia,Posgrado
80,135,Aprobada,Aprobado,REGULAR,4999,2.0,"5,599",-0.12,7500,RECIBOS DE NOMINA,Alto B,CLIENTE_BANCO,0,Medio ,ALTO,2,189,680,0,0,0,0,0,25,Propia,Posgrado
81,187,Aprobada,Aprobado,BUENO,49999,2.0,"54,999",-0.1,7900,RECIBOS DE NOMINA,Medio A,CLIENTE_BANCO,20000,Bajo,ALTO,0,190,740,1,6073,390,0,0,25,Renta,Preparatoria
82,546,Aprobada,Aprobado,BUENO,12800,1.0,"7,552",0.41,9995,RECIBOS DE NOMINA,Alto A,NO_CLIENTE,0,Mínimo,ACEPTABLE,0,204,761,0,0,0,0,0,25,Propia,Posgrado
83,6472,Aprobada,Aprobado,REGULAR,53000,3.0,"32,860",0.38,9428,RECIBOS DE NOMINA,Alto B,CLIENTE_BANCO,32800,Alto,ACEPTABLE,0,206,612,3,0,0,0,0,25,Hipoteca,Licenciatura
84,4198,Aprobada,Aprobado,BUENO,9899,2.0,"5,345",0.46,10500,PROPIEDAD ACTIVO FIJO,Medio A,CLIENTE_BANCO,5400,Bajo,ACEPTABLE,0,206,737,0,1583,0,0,0,25,Renta,Licenciatura
85,8241,Aprobada,Aprobado,BUENO,9899,1.0,"5,246",0.47,10500,PROPIEDAD ACTIVO FIJO,Alto B,CLIENTE_BANCO,10004,Mínimo,ACEPTABLE,0,206,767,1,8512,250,0,0,25,Hipoteca,Posgrado
86,733,Aprobada,Aprobado,BUENO,4999,1.0,"5,599",-0.12,11000,RECIBOS DE NOMINA,Medio B,CLIENTE_BANCO,0,Bajo,ALTO,0,213,708,0,0,0,0,0,25,Renta,Licenciatura
87,194,Aprobada,Aprobado,BUENO,48999,0.0,"25,479",0.48,10600,PROPIEDAD ACTIVO FIJO,Medio A,CLIENTE_BANCO,20500,Bajo,ACEPTABLE,0,213,733,0,2905,0,0,0,25,Renta,Preparatoria
88,4534,Aprobada,Aprobado,REGULAR,31000,0.0,"5,270",0.83,10890,RECIBOS DE NOMINA,Medio A,CLIENTE_BANCO,20000,Bajo,ACEPTABLE,0,213,740,1,9619,250,59227,0,25,Familiares,Preparatoria
89,4267,Aprobada,Aprobado,BUENO,66000,2.0,"35,640",0.46,10695,PROPIEDAD ACTIVO FIJO,Alto C,CLIENTE_BANCO,0,Bajo,ACEPTABLE,0,218,702,0,18896,0,0,0,25,Hipoteca,Preparatoria
90,19023,Aprobada,Aprobado,BUENO,38999,2.0,"21,059",0.46,9899,RECIBOS DE NOMINA,Medio B,NO_CLIENTE,0,Bajo,ACEPTABLE,0,218,746,0,0,0,0,0,25,Propia,Posgrado
91,405,Aprobada,Aprobado,BUENO,11800,1.0,"8,850",0.25,11130,RECIBOS DE NOMINA,Medio B,NO_CLIENTE,0,Bajo,ACEPTABLE,0,221,745,0,0,0,0,0,25,Familiares,Posgrado
92,141,Aprobada,Aprobado,BUENO,56000,2.0,"57,120",-0.02,11130,RECIBOS DE NOMINA,Medio A,CLIENTE_BANCO,75300,Bajo,ALTO,0,226,723,1,15297,852,55226,0,25,Hipoteca,Posgrado
93,112,Aprobada,Aprobado,BUENO,49999,1.0,"58,999",-0.18,11770,PROPIEDAD ACTIVO FIJO,Medio A,CLIENTE_BANCO,63000,Bajo,ALTO,0,226,750,1,29346,1720,30000,0,25,Familiares,Posgrado
94,691,Aprobada,Aprobado,BUENO,10000,1.0,"7,100",0.29,11130,RECIBOS DE NOMINA,Alto C,CLIENTE_BANCO,0,Bajo,ACEPTABLE,0,227,749,0,0,0,0,0,25,Familiares,Preparatoria
95,936,Aprobada,Aprobado,REGULAR,56000,0.0,"15,120",0.73,11543,RECIBOS DE NOMINA,Medio A,CLIENTE_BANCO,122999,Medio ,ACEPTABLE,0,229,697,1,97726,4680,39890,0,25,Familiares,Secundaria
96,4376,Aprobada,Aprobado,BUENO,9899,0.0,"9,800",0.01,11336,PROPIEDAD ACTIVO FIJO,Medio A,CLIENTE_BANCO,117000,Bajo,ACEPTABLE,0,229,740,1,9053,1470,0,0,25,Renta,Licenciatura
97,4333,Aprobada,Aprobado,REGULAR,19500,2.0,"21,450",-0.1,10592,RECIBOS DE NOMINA,Alto B,CLIENTE_BANCO,0,Medio ,ALTO,0,232,690,0,0,0,0,0,25,Renta,Licenciatura
98,8,Aprobada,Aprobado,BUENO,9899,0.0,"5,048",0.49,11687,RECIBOS DE NOMINA,Alto A,CLIENTE_BANCO,0,Mínimo,ACEPTABLE,0,232,759,0,0,0,77967,0,25,Renta,Licenciatura
99,7918,Aprobada,Aprobado,REGULAR,10000,0.0,"4,000",0.6,11798,RECIBOS DE NOMINA,Medio A,CLIENTE_BANCO,0,Mínimo,ACEPTABLE,0,232,770,0,0,0,0,0,25,Familiares,Licenciatura
100,4469,Aprobada,Aprobado,REGULAR,2999,1.0,450,0.85,12476,RECIBOS DE NOMINA,Alto B,CLIENTE_BANCO,0,Mínimo,ACEPTABLE,0,238,805,0,0,0,0,0,25,Renta,Preparatoria
101,885,Aprobada,Aprobado,REGULAR,4999,2.0,"5,599",-0.12,11909,RECIBOS DE NOMINA,Medio B,NO_CLIENTE,0,Medio ,ALTO,0,239,688,0,0,0,0,0,25,Propia,Preparatoria
102,92,Aprobada,Aprobado,BUENO,49999,1.0,"30,999",0.38,12121,PROPIEDAD ACTIVO FIJO,Medio A,CLIENTE_BANCO,91000,Mínimo,ACEPTABLE,0,240,766,0,0,0,0,0,25,Propia,Posgrado
103,412,Aprobada,Aprobado,REGULAR,4999,0.0,750,0.85,12017,RECIBOS DE NOMINA,Alto A,NO_CLIENTE,0,Mínimo,ACEPTABLE,0,246,795,0,0,0,0,0,25,Familiares,Licenciatura
104,662,Aprobada,Aprobado,REGULAR,24600,2.0,"25,830",-0.05,11334,RECIBOS DE NOMINA,Alto C,CLIENTE_BANCO,0,Medio ,ALTO,0,250,695,0,0,0,0,0,25,Familiares,Preparatoria
105,487,Aprobada,Aprobado,BUENO,9899,1.0,"6,632",0.33,12271,RECIBOS DE NOMINA,Medio A,CLIENTE_BANCO,0,Mínimo,ACEPTABLE,0,252,753,0,0,0,0,0,25,Renta,Posgrado
106,4182,Aprobada,Aprobado,BUENO,275000,2.0,"247,500",0.1,12506,PROPIEDAD ACTIVO FIJO,Alto A,CLIENTE_BANCO,293000,Bajo,ACEPTABLE,0,270,710,0,0,0,0,0,25,Propia,Posgrado
107,4369,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,10890,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,5,89,0,0,0,0,0,0,26,Propia,Preparatoria
108,405,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,12743,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,4,89,0,1,3214,250,0,0,26,Renta,Licenciatura
109,986,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,12727,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,5,89,0,0,0,0,0,0,26,Renta,Posgrado
110,9171,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,12737,RECIBOS DE NOMINA,,NO_CLIENTE,2000,Alto,BAJO,4,89,0,0,0,0,0,0,26,Propia,Preparatoria
111,269,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,12014,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,90,0,0,0,0,0,0,26,Renta,Licenciatura
112,4064,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,13130,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,1,90,0,0,0,0,29937,0,26,Propia,Licenciatura
113,979,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,13131,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,90,0,0,0,0,0,0,26,Renta,Posgrado
114,4874,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,11543,INVERSIONES,,NO_CLIENTE,0,Alto,BAJO,3,90,0,0,0,0,0,0,26,Familiares,Licenciatura
115,9261,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,13507,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,2,90,0,0,0,0,0,0,26,Hipoteca,Licenciatura
116,4087,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,13617,RECIBOS DE NOMINA,,NO_CLIENTE,3000,Alto,BAJO,4,90,0,1,2932,260,0,0,26,Familiares,Posgrado
117,8185,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,13374,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,5,90,0,0,0,0,0,0,26,Renta,Licenciatura
118,750,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,12735,PAGOS PROV SEMESTRALES PF,,NO_CLIENTE,0,Alto,BAJO,5,91,0,0,0,0,0,0,26,Familiares,Preparatoria
119,336,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,14049,INVERSIONES,,NO_CLIENTE,0,Alto,BAJO,4,91,0,0,0,0,0,0,26,Renta,Licenciatura
